, , , , ,Profitability, , ,Direct,Written Premium,(DWP), ,Loss Ratio,(Calendar), 
1, ,ADP Line of Business,YTD Earned Premium,YTD Incurred Loss/ALAE,Calendar YTD Loss Ratio,Accident YTD Loss Ratio,Accident YTD Claim Freq,2018,2019,2020,2018,2019,2020,2 Yr YTD
2, ,Auto,"$1,317,520","$637,214",48.4%,42.7%,0.1%,"$323,929","$543,347","$873,137",24.7%,25.2%,33.2%,40.0%
3, ,Business Owners BOP,"$1,142,060","$502,478",44.0%,17.6%,0.1%,"$140,563","$313,400","$833,254",28.9%,2.9%,95.4%,54.8%
4, ,Custom Protector CPSP,"$1,221,473","$536,110",43.9%,50.9%,0.1%,"$278,478","$545,725","$943,641",25.4%,4.0%,46.4%,38.0%
5, ,Comp. Business CBP,"$716,852","$541,734",75.6%,19.6%,0.1%,"$141,605","$224,213","$553,284",0.0%,31.4%,9.4%,49.0%
6, ,Farm,"$299,263","$22,664",7.6%,3.5%,0.0%,"$95,627","$137,586","$266,496",(0.8%),78.5%,2.6%,19.7%
7,BI,Fire and B&M,"$106,224","$34,000",32.0%,32.0%,0.0%,"$22,276","$25,545","$72,164",80.7%,6.5%,0.0%,20.3%
8, ,General Liability,"$459,666","$3,829",0.8%,0.8%,0.0%,"$99,426","$202,791","$244,263",0.0%,1.3%,(0.2%),0.7%
9, ,Inland Marine,"$1,156,163","$1,987,703",171.9%,171.7%,0.0%,"$450,173","$587,563","$838,128",64.7%,101.7%,13.9%,111.0%
10, ,Umbrella,"$367,463",$0,0.0%,0.0%,0.0%,"$60,739","$129,037","$241,273",0.0%,0.0%,0.0%,0.0%
11, ,Workers Comp,"$1,260,750","$202,411",16.1%,11.4%,0.1%,"$262,837","$615,290","$1,005,555",95.0%,(29.9%),21.9%,10.2%
12, ,*N/A,$0,$0,0.0%,0.0%,0.0%,$0,$0,$0,0.0%,149.1%,0.0%,298.8%
13, , ,"$8,047,433","$4,468,142",55.5%,46.0%,0.1%,"$1,875,653","$3,324,497","$5,871,195",40.4%,26.9%,31.5%,43.4%
