, , , , , , , , ,Commercial,Lines by,Line of Business, , , , , , , , , 
1, , ,Policies,In Force, , ,New Business, ,Retention, ,Written Premium, ,Rolling,12 Written Premium, ,New Bus,Written Premium, ,CY Loss,Ratio
2,COMMERCIAL LINES,12/21,1/22,YTD % Chg,Proj Ann % Chg,1/21,1/22,% Chg,Annualized 22,1/21,1/22,% Chg,12/21,1/22,% Chg,1/21,1/22,% Chg,1/21,1/22
3,Commercial Auto,425,423,-0.5%,-5.6%,30,11,-63.3%,63.3%,"$177,734","$204,094",+14.8%,"$1,771,122","$1,797,482",+1.5%,"$133,652","$13,654",-89.8%,-6.7%,112.7%
4,Small Commercial Package,499,520,+4.2%,+50.5%,22,31,+40.9%,76.0%,"$139,780","$205,272",+46.9%,"$1,575,313","$1,640,805",+4.2%,"$43,270","$44,669",+3.2%,26.6%,31.9%
5,Middle Market Commercial,29,29,+0.0%,+0.0%,1,0,-100.0%,100.0%,"$204,349","-$2,564",-101.3%,"$846,139","$639,226",-24.5%,"$205,853",$0,-100.0%,94.0%,19.4%
6,Workers Compensation,69,75,+8.7%,+104.3%,0,5,+0.0%,117.4%,"$2,481","$42,506",+1613.3%,"$247,560","$287,585",+16.2%,$0,"$9,198",+0.0%,1.8%,32.1%
7,Other Commercial,51,53,+3.9%,+47.1%,1,3,+200.0%,76.5%,"$25,925","$10,410",-59.8%,"$102,772","$87,257",-15.1%,"$25,375","$3,654",-85.6%,0.0%,0.0%
8,Total CL,"1,073","1,100",+2.5%,+30.2%,54,50,-7.4%,74.3%,"$550,269","$459,718",-16.5%,"$4,542,906","$4,452,355",-2.0%,"$408,150","$71,175",-82.6%,26.8%,60.9%
9,Farm & Ranch,189,199,+5.3%,+63.5%,19,13,-31.6%,81.0%,"$66,540","$105,847",+59.1%,"$546,403","$585,710",+7.2%,"$66,325","$33,268",-49.8%,218.4%,-14.5%
10,Total CL & Farm,"1,262","1,299",+2.9%,+35.2%,73,63,-13.7%,75.3%,"$616,809","$565,565",-8.3%,"$5,089,309","$5,038,065",-1.0%,"$474,475","$104,443",-78.0%,45.4%,52.4%
