, , , , , , ,13,Months,Trend,History, , , , , ,YTD,Analysis, ,YE,Actual
1, , ,Dec 20,Jan 21,Feb 21,Mar 21,Apr 21,May 21,Jun 21,Jul 21,Aug 21,Sep 21,Oct 21,Nov 21,Dec 21,YTD,PYTD,Variance,2020,2019
2, ,AUTO,$976,$955,"$1,032","$1,320","$1,207","$1,171","$1,377","$1,324","$1,466","$1,589","$1,532","$1,386","$1,494","$15,855","$10,344",53.3%,"$10,344","$8,165"
3, ,HOME,$555,$463,$547,$745,$764,$744,$919,$849,$904,$901,"$1,001",$973,$991,"$9,799","$5,268",86.0%,"$5,268","$3,252"
4, ,OPL,$30,$25,$37,$45,$38,$42,$59,$43,$50,$50,$54,$52,$55,$550,$336,63.5%,$336,$263
5, ,Total,"$1,561","$1,443","$1,616","$2,110","$2,009","$1,957","$2,354","$2,217","$2,420","$2,540","$2,587","$2,412","$2,540","$26,204","$15,948",64.3%,"$15,948","$11,680"
6, ,AUTO,"5,056","5,203","5,382","5,646","5,867","6,077","6,297","6,525","6,769","6,989","7,193","7,366","7,561","7,561","5,056",49.5%,"5,056","3,848"
7, ,HOME,"4,933","5,141","5,368","5,751","6,085","6,424","6,817","7,123","7,464","7,763","8,072","8,393","8,717","8,717","4,933",76.7%,"4,933","3,152"
8, ,OPL,990,"1,020","1,063","1,150","1,225","1,292","1,371","1,425","1,492","1,560","1,623","1,687","1,747","1,747",990,76.5%,990,713
9, ,Total,"10,979","11,364","11,813","12,547","13,177","13,793","14,485","15,073","15,725","16,312","16,888","17,446","18,025","18,025","10,979",64.2%,"10,979","7,713"
10, ,AUTO,261,217,255,328,307,292,301,311,291,322,297,263,283,"3,467","2,002",73.2%,"2,002","1,215"
11, ,HOME,354,294,304,438,419,442,523,445,449,439,433,453,440,"5,079","2,509",102.4%,"2,509","1,159"
12, ,OPL,71,44,53,67,85,75,94,74,68,77,74,72,76,859,403,113.2%,403,234
13, ,Total,686,555,612,833,811,809,918,830,808,838,804,788,799,"9,405","4,914",91.4%,"4,914","2,608"
14, ,AUTO,"4,094","4,461","4,593","5,555","4,888","4,025","4,412","4,194","4,501","4,022","4,001","3,868","3,702","52,222","34,096",53.2%,"34,096","18,056"
15, ,HOME,"2,296","2,194","2,446","2,992","2,945","2,720","3,097","2,718","2,794","2,505","2,672","2,450","2,296","31,829","17,884",78.0%,"17,884","7,188"
16, ,OPL,79,44,64,82,90,68,85,90,72,78,70,73,88,904,477,89.5%,477,291
17, ,Total,"6,469","6,699","7,103","8,629","7,923","6,813","7,594","7,002","7,367","6,605","6,743","6,391","6,086","84,955","52,457",62.0%,"52,457","25,535"
18, ,AUTO,6.4%,4.9%,5.6%,5.9%,6.3%,7.3%,6.8%,7.4%,6.5%,8.0%,7.4%,6.8%,7.6%,6.6%,5.9%,0.8 pts,5.9%,6.7%
19, ,HOME,15.4%,13.4%,12.4%,14.6%,14.2%,16.3%,16.9%,16.4%,16.1%,17.5%,16.2%,18.5%,19.2%,16.0%,14.0%,1.9 pts,14.0%,16.1%
20, ,OPL,89.9%,100.0%,82.8%,81.7%,94.4%,110.3%,110.6%,82.2%,94.4%,98.7%,105.7%,98.6%,86.4%,95.0%,84.5%,10.5 pts,84.5%,80.4%
21, ,Total,10.6%,8.3%,8.6%,9.7%,10.2%,11.9%,12.1%,11.9%,11.0%,12.7%,11.9%,12.3%,13.1%,11.1%,9.4%,1.7 pts,9.4%,10.2%
22, ,AUTO,47.9%,22.1%,57.8%,60.2%,41.7%,27.7%,74.1%,43.2%,52.5%,62.1%,41.2%,64.9%,82.4%,53.4%,49.5%,3.9 pts,49.5%,53.3%
23, ,HOME,55.4%,87.5%,39.9%,71.5%,67.0%,77.4%,66.3%,50.0%,67.2%,48.7%,84.9%,46.1%,43.1%,61.6%,68.7%,(7.1 pts),68.7%,50.6%
24, ,OPL,1.4%,0.0%,0.0%,(14.0%),(51.4%),0.0%,4.4%,0.0%,(9.6%),0.0%,3.4%,7.6%,1.5%,(3.9%),21.5%,(25.4 pts),21.5%,44.2%
25, ,Total,49.3%,42.6%,50.8%,62.4%,48.2%,43.9%,70.0%,44.7%,56.3%,56.1%,56.1%,56.8%,66.2%,55.0%,54.7%,0.4 pts,54.7%,52.4%
