, , , , , ,Current, ,Year-to-Date,Results, ,Prior,Year-to-Date,Results, ,Prior,Year-end,Results, 
1,Sub-Code,Agency Name,Agency Location,Quotes,BNB,Policies in Force,PIF Growth,Retention,Loss Ratio,Written Premium,BNB,Policies in Force,Written Premium,Quotes,BNB,Policies in Force,Loss Ratio,Written Premium
2,0DMH08,LSH INC,"LITHONIA, GA",698,65,103,63.5%,82.5%,19.6%,"$178,903",36,63,"$115,882",411,36,63,19.9%,"$115,882"
3,0DMH68,AUSBAND AGENCY INC,"MCDONOUGH, GA",351,55,84,115.4%,94.9%,16.3%,"$159,342",32,39,"$64,541",255,32,39,27.1%,"$64,541"
4,0DMH74,NEEDHAM GRP INCITHE,"GREENSBORO, NC",341,42,93,6.9%,60.9%,136.5%,"$169,013",42,87,"$167,477",293,42,87,82.4%,"$167,477"
5,0DMN17,RANDALL CRANE & ASSOC,"WINDER, GA","1,589",238,364,118.0%,86.8%,61.1%,"$650,651",131,167,"$289,329","1,268",131,167,31.4%,"$289,329"
6,0DMN66,WJ SAUNDERS INS CORP,"SIMI VALLEY, CA",103,22,30,233.3%,100.0%,347.9%,"$78,751",10,9,"$30,355",81,10,9,0.0%,"$30,355"
7,0DMR15,JAC INS AGENCY LLC,"FAIRPORT, NY",293,21,30,100.0%,80.0%,55.2%,"$30,071",5,15,"$8,736",100,5,15,(14.0%),"$8,736"
8,0DMS38,MOREHEAD AGENCY LLC,"LEES SUMMIT, MO",245,16,51,13.3%,80.0%,49.7%,"$69,369",5,45,"$63,077",242,5,45,7.1%,"$63,077"
9,0DMY01,FRED SIMMONS INS,"GOLD RIVER, CA",36,9,13,160.0%,100.0%,2.7%,"$15,366",2,5,"$5,540",10,2,5,0.0%,"$5,540"
10,0DMY51,AGENCY OF TOMORROW,"GRANITE BAY, CA",76,21,45,55.2%,89.7%,3.4%,"$94,383",21,29,"$56,257",81,21,29,18.4%,"$56,257"
11,0DMZ43,PIEDMONT INS BROKERS LLC,"WOODSTOCK, GA",220,50,62,1966.7%,466.7%,75.4%,"$136,009",4,3,"$6,679",39,4,3,0.0%,"$6,679"
12,0DNC99,AMRITT\THOMA S AGCY,"HIRAM, GA",143,46,70,100.0%,82.9%,32.2%,"$127,124",32,35,"$53,593",98,32,35,79.0%,"$53,593"
13,0DND57,RIELLI INS & FIN SVC,"SACRAMENTO, CA",518,153,159,622.7%,100.0%,25.2%,"$194,107",25,22,"$24,723",163,25,22,0.0%,"$24,723"
14,0DND94,HALO INS AGENCY INC,"CEDAR PARK, TX",380,46,65,150.0%,92.3%,273.5%,"$84,602",23,26,"$26,720",325,23,26,28.0%,"$26,720"
15,0DNF40,MARKETPLACE 4 INS NC LLC,"HENDERSONVILL E, NC",341,61,75,435.7%,100.0%,18.9%,"$70,534",16,14,"$10,154",275,16,14,0.0%,"$10,154"
16,0DNG28,THE JAMES AGENCY LLC,"HATTIESBURG, MS",604,103,179,80.8%,86.9%,23.1%,"$306,615",97,99,"$160,558",631,97,99,51.5%,"$160,558"
17,0DNG77,GRAVES COSBY SELLMAN INS,"URBANA, OH",368,33,45,221.4%,100.0%,47.5%,"$36,411",15,14,"$14,375",238,15,14,0.0%,"$14,375"
18,0DNH46,CYNTHIA WOLTZ INS,"JAMESTOWN, NY",304,9,9,350.0%,100.0%,160.3%,"$10,208",1,2,"$3,388",54,1,2,0.0%,"$3,388"
19,0DNM42,MARKIN INS & FIN SVCS,"SUFFERN, NY","1,341",80,95,97.9%,72.9%,11.7%,"$204,663",44,48,"$79,793",573,44,48,0.0%,"$79,793"
20,0DNV82,CHAPMAN INS GROUP INC,"COVINGTON, GA",76,73,20,122.2%,55.6%,42.7%,"$38,036",51,9,"$12,073",321,51,9,0.0%,"$12,073"
21,ODNW00,BATES INSURANCE GRP\THE,"COVINGTON, GA",366,51,71,144.8%,93.1%,22.1%,"$135,516",30,29,"$66,825",180,30,29,9.3%,"$66,825"
22,0DNW16,KISER AGENCY INCITHE,"ASHEVILLE, NC",96,28,56,55.6%,83.3%,(9.8%),"$65,116",17,36,"$41,487",95,17,36,117.7%,"$41,487"
23,0DNY34,WINSTEADIBAR RY E,"ELKTON, MD",520,56,73,231.8%,86.4%,13.1%,"$90,287",23,22,"$20,568",299,23,22,19.5%,"$20,568"
