, , ,Dec 21,Nov 21,Oct 21,Var to Prior Mth,Var to Prior Yr,Dec 21 YTD,Dec 20 YTD,Var to PYTD,Dec 20 YE,Dec 19 YE,Dec 18 YE,Dec 17 YE
1, ,Auto,"7,561","7,366","7,193",2.6%,49.5%,"7,561","5,056",49.5%,"5,056","3,848","3,323","2,682"
2, ,Home,"8,717","8,393","8,072",3.9%,76.7%,"8,717","4,933",76.7%,"4,933","3,152","2,479","1,910"
3, ,OPL,"1,747","1,687","1,623",3.6%,76.5%,"1,747",990,76.5%,990,713,600,443
4, ,Total,"18,025","17,446","16,888",3.3%,64.2%,"18,025","10,979",64.2%,"10,979","7,713","6,402","5,035"
5, ,Auto,2.6%,2.4%,2.9%,0.2 pts,18.2 pts,49.5%,31.4%,18.2 pts,31.4%,15.8%,23.9%,N/A
6, ,Home,3.9%,4.0%,4.0%,(0.1 pts),20.2 pts,76.7%,56.5%,20.2 pts,56.5%,27.1%,29.8%,N/A
7, ,OPL,3.6%,3.9%,4.0%,(0.4 pts),37.6 pts,76.5%,38.8%,37.6 pts,38.8%,18.8%,35.4%,N/A
8, ,Total,3.3%,3.3%,3.5%,0.0 pts,21.8 pts,64.2%,42.3%,21.8 pts,42.3%,20.5%,27.1%,N/A
9, ,Auto,86.3%,86.8%,85.9%,(0.4 pts),3.5 pts,86.3%,82.8%,3.5 pts,82.8%,82.3%,84.7%,N/A
10, ,Home,86.7%,86.1%,85.5%,0.6 pts,2.4 pts,86.7%,84.2%,2.4 pts,84.2%,84.8%,88.7%,N/A
11, ,OPL,94.5%,93.5%,93.3%,1.0 pts,9.8 pts,94.5%,84.7%,9.8 pts,84.7%,82.8%,91.4%,N/A
12, ,Total,87.2%,87.1%,86.4%,0.2 pts,3.7 pts,87.2%,83.5%,3.7 pts,83.5%,83.3%,86.8%,N/A
13, ,Auto,283,263,297,7.6%,8.4%,"3,467","2,002",73.2%,"2,002","1,215","1,114",700
14, ,Home,440,453,433,(2.9%),24.3%,"5,079","2,509",102.4%,"2,509","1,159",849,395
15, ,OPL,76,72,74,5.6%,7.0%,859,403,113.2%,403,234,209,104
16, ,Total,799,788,804,1.4%,16.5%,"9,405","4,914",91.4%,"4,914","2,608","2,172","1,199"
17, ,H/A Ratio,1.6,1.7,1.5,(9.7%),14.6%,1.5,1.3,16.9%,1.3,1.0,0.8,0.6
18, ,Auto,"3,702","3,868","4,001",(4.3%),(9.6%),"52,222","34,096",53.2%,"34,096","18,056","11,719","8,240"
19, ,Home,"2,296","2,450","2,672",(6.3%),0.0%,"31,829","17,884",78.0%,"17,884","7,188","4,417","2,263"
20, ,OPL,88,73,70,20.5%,11.4%,904,477,89.5%,477,291,264,146
21, ,Total,"6,086","6,391","6,743",(4.8%),(5.9%),"84,955","52,457",62.0%,"52,457","25,535","16,400","10,649"
22, ,H/A Ratio,0.6,0.6,0.7,(2.1%),10.6%,0.6,0.5,16.2%,0.5,0.4,0.4,0.3
23, ,Auto,7.6%,6.8%,7.4%,0.8 pts,1.3 pts,6.6%,5.9%,0.8 pts,5.9%,6.7%,9.5%,8.5%
24, ,Home,19.2%,18.5%,16.2%,0.7 pts,3.7 pts,16.0%,14.0%,1.9 pts,14.0%,16.1%,19.2%,17.5%
25, ,OPL,86.4%,98.6%,105.7%,(12.3 pts),(3.5 pts),95.0%,84.5%,10.5 pts,84.5%,80.4%,79.2%,71.2%
26, ,Total,13.1%,12.3%,11.9%,0.8 pts,2.5 pts,11.1%,9.4%,1.7 pts,9.4%,10.2%,13.2%,11.3%
27, ,Auto,"$1,494,493","$1,385,995","$1,532,263",7.8%,53.2%,"$15,855,077","$10,343,834",53.3%,"$10,343,834","$8,164,669","$6,622,108","$4,926,065"
28, ,Home,"$990,541","$973,104","$1,000,595",1.8%,78.4%,"$9,799,234","$5,267,958",86.0%,"$5,267,958","$3,252,004","$2,565,893","$1,920,212"
29, ,OPL,"$54,681","$52,402","$53,765",4.3%,82.5%,"$550,088","$336,447",63.5%,"$336,447","$263,329","$258,808","$218,171"
30, ,Total,"$2,539,715","$2,411,500","$2,586,622",5.3%,62.7%,"$26,204,399","$15,948,240",64.3%,"$15,948,240","$11,680,002","$9,446,809","$7,064,448"
31, ,Auto,82.4%,64.9%,41.2%,17.6 pts,34.5 pts,53.4%,49.5%,3.9 pts,49.5%,53.3%,66.5%,64.6%
32, ,Home,43.1%,46.1%,84.9%,(2.9 pts),(12.3 pts),61.6%,68.7%,(7.1 pts),68.7%,50.6%,56.8%,38.0%
33, ,OPL,1.5%,7.6%,3.4%,(6.1 pts),0.1 pts,(3.9%),21.5%,(25.4 pts),21.5%,44.2%,34.1%,23.4%
34, ,Total,66.2%,56.8%,56.1%,9.5 pts,16.9 pts,55.0%,54.7%,0.4 pts,54.7%,52.4%,63.0%,55.6%
