, , , , , ,Current,Year-to-Date, ,Results, ,Prior,Year-to-Date,Results, ,Prior,Year-end,Results, 
1,Sub-Code,Agency Name,Agency Location,Quotes,BNB,Policies in Force,PIF Growth,Retention,Loss Ratio,Written Premium,BNB,Policies in Force,Written Premium,Quotes,BNB,Policies in Force,Loss Ratio,Written Premium
2,0DPV99,JOSEPH J DIMONDA AGENCY,"WANTAGH, NY",115,12,57,23.9%,82.4%,78.3%,"$30,401",7,17,"$11,903",283,41,46,100.1%,"$78,358"
3,0DPW55,PAPAS & ASSOCIATES LLC,"AKRON, OH",25,1,9,12.5%,100.0%,0.0%,$749,1,3,"$1,021",151,8,8,0.0%,"$7,960"
4,0DPW64,NICK WEYBRIGHT AGNCY INC,"INDIANAPOLIS, IN",64,5,133,0.8%,85.7%,33.4%,"$47,752",18,119,"$36,946",311,47,132,42.2%,"$164,414"
5,0DPW82,FOWLER\JOSEP HP,"GREENSBORO, NC",2,0,19,(9.5%),70.0%,0.0%,"($1,204)",3,10,"$1,455",252,16,21,2.2%,"$22,040"
6,0DPW88,WADE TIMOTHY P INC,"BENSALEM, PA",20,1,9,12.5%,100.0%,0.0%,"$1,574",0,1,($45),98,11,8,49.8%,"$12,831"
7,0DPX15,GLUCKLE\DAVI D\INS AGCY,"SYLVANIA, OH",32,5,23,27.8%,122.2%,58.0%,"$8,738",5,9,"$4,181",128,14,18,50.9%,"$18,778"
8,0DPX40,THE SAXON AGENCY,"MCKINNEY, TX",0,0,0,(100.0%),0.0%,0.0%,$0,1,3,"$2,693",37,1,1,0.0%,"$2,535"
9,ODPY00,YANAK INSURANCE GROUP,"CLYDE, OH",0,0,0,0.0%, , ,$0,0,0,$0,1,0,0, ,$0
10,0DPY13,HOSTETLER INS GROUP LLC,"CANTON, OH",89,0,7,(12.5%),80.0%,0.0%,"$3,116",4,5,"$3,674",516,7,8,13.2%,"$5,926"
11,0DPY25,MALHOTRA & ASSOC LLC,"MANSFIELD, OH",0,0,0,0.0%, , ,$0,0,0,$0,0,0,0, ,$0
12,0DPY39,BILL MEENAN AGENCY,"CARROLLTON, TX",19,0,7,0.0%,100.0%,134.3%,"$8,003",5,7,"$6,871",69,5,7,294.8%,"$12,121"
13,0DPY60,MILLER INS AGENCY INC,"WACO, TX",1,0,0,0.0%, , ,$0,0,0,$0,12,0,0, ,$0
14,0DPZ14,CSI INSURANCE LLC,"TIFFIN, OH",78,2,13,18.2%,100.0%,0.0%,$790,0,3,($703),323,8,11,273.5%,"$10,692"
15,0DPZ55,ISAKSON INS AGENCY INC,"MESA, AZ",205,25,137,18.1%,85.5%,261.0%,"$57,205",15,83,"$29,504",600,65,116,10.0%,"$168,171"
16,0DQC29,BROWN BROTHERS AGCY INC,"GALLIPOLIS, OH",4,1,27,3.8%,100.0%,0.0%,"$8,936",8,10,"$7,248",77,25,26,0.0%,"$24,057"
17,0DQC98,ELEMENTARY INS AGENCY,"TAMPA, FL",38,2,14,16.7%,100.0%,(78.9%),"$4,154",2,7,"$2,900",132,11,12,63.3%,"$18,210"
18,0DQC99,INSURANCE ALLIANCE LLC,"SUMNER, WA",90,11,127,1.6%,71.6%,17.5%,"$44,456",26,81,"$34,036",329,91,125,30.6%,"$134,367"
19,0DQD10,STONE\JOHN PATRICK,"HOLLEY, NY",2,0,0,0.0%, , ,$0,0,0,$0,18,0,0, ,$0
20,0DQD37,MARKETPLACE 4 INS MS LLC,"WOODSTOCK, GA",52,6,40,122.2%, ,43.6%,"$22,177",0,0,$0,129,15,18,34.2%,"$20,899"
21,0DQD96,MORIAS AGENCY,"CHESTER, NY",5,1,4,33.3%,100.0%,0.0%,"$4,117",2,2,"$2,432",86,3,3,0.0%,"$4,867"
22,0DQF76,BLUE INSURANCE GROUP LLC,"WARRENVILLE, IL",105,3,62,5.1%,86.7%,1.0%,"$21,550",19,30,"$17,728",303,52,59,11.9%,"$63,426"
23,Sub-Code,Details Report, , , , , ,Page,8 of 11, , , , , , ,Printed on,04/04/2022,02:55 PM
