, , , , , ,Current,Year-to-Date, ,Results, ,Prior,Year-to-Date,Results, ,Prior,Year-end,Results, 
1,Sub-Code,Agency Name,Agency Location,Quotes,BNB,Policies in Force,PIF Growth,Retention,Loss Ratio,Written Premium,BNB,Policies in Force,Written Premium,Quotes,BNB,Policies in Force,Loss Ratio,Written Premium
2,09X362,KEYSTONE INS GROUP,"BOCA RATON, FL",380,27,397,0.8%,73.3%,39.7%,"$220,077",29,374,"$224,474","1,279",132,394,80.6%,"$910,876"
3,0CFB98,PUTNAM\BOB\A GENCY,"COOPERSTOWN, NY",482,8,272,(0.4%),88.0%,59.7%,"$88,949",9,259,"$86,394","1,836",46,273,18.2%,"$388,068"
4,OCFD19,PUTNAM BOB AGCY INC,"COOPERSTOWN, NY",0,0,1,0.0%,100.0%,0.0%,$400,0,1,$381,2,0,1,0.0%,$755
5,OCFL08,JONESITOM\INS URANCE,"TUSCUMBIA, AL",11,2,5,25.0%, ,0.0%,"$1,461",0,0,$0,53,6,4,0.0%,"$8,582"
6,OCFZ69,FLEMING ISLAND INSURANCE,"GAINESVILLE, FL",29,2,41,(8.9%),73.9%,33.3%,"$21,829",0,46,"$30,041",105,5,45,145.0%,"$113,273"
7,OCFZ70,FLEMING ISLAND INSURANCE,"GAINESVILLE, FL",0,0,0,0.0%, , ,$0,0,0,$0,0,0,0, ,$0
8,0CGQ81,PUTNAM\BOB\A GENCY,"COOPERSTOWN, NY",2,0,21,0.0%,85.7%,21.5%,"$5,766",0,21,"$7,903",213,3,21,27.4%,"$26,173"
9,0CJH39,PANICHELLE FINANCIAL GRP,"LATROBE, PA",1,0,1,0.0%, ,0.0%,$0,0,0,$0,1,1,1,69.5%,"$1,490"
10,OCMY16,ABE GT & ASSOCIATES INC,"CHICAGO, IL",78,14,289,0.3%,79.0%,141.8%,"$77,165",10,271,"$71,707",363,81,288,100.9%,"$333,049"
11,0CQK62,NOBLES INS AGENCY INC,"RALEIGH, NC",48,13,27,92.9%,100.0%,0.0%,"$19,732",2,9,"$4,893",53,9,14,96.7%,"$18,287"
12,0CQQ55,KELLY\JAMES\& ASSOCIATES,"LIBERTYVILLE, IL",162,1,28,12.0%,600.0%,1.1%,"$4,923",1,1,$556,705,23,25,351.6%,"$25,754"
13,0CRP38,MORELAND INSURANCE LLC,"IMPERIAL, NE",347,26,116,28.9%,83.3%,13.0%,"$48,522",3,66,"$6,214",978,43,90,17.7%,"$145,110"
14,0CSP88,KLC INS INC DBA FAMILY S,"INDIANAPOLIS, IN",203,6,413,(4.0%),81.8%,66.5%,"$96,614",19,440,"$130,849",638,71,430,63.0%,"$587,378"
15,0CSS81,ROGER HENRY INS,"MUSCLE SHOALS, AL",8,2,97,(3.0%),86.7%,56.2%,"$50,251",0,98,"$43,215",53,10,100,33.0%,"$164,837"
16,OCTT17,KEYSTONE INS GROUP,"BOCA RATON, FL",0,0,1,0.0%, ,0.0%,$0,0,0,$0,1,1,1,0.0%,"$2,244"
17,0CWQ74,A-Z INSURANCE LLC,"ORO VALLEY, AZ",21,3,59,(6.3%),86.7%,143.1%,"$15,121",0,60,"$18,479",63,6,63,19.1%,"$66,154"
18,0DGN87,PATRICK SCHUMACHER INS,"LODI, CA",77,16,220,4.8%,92.9%,(13.0%),"$78,080",5,196,"$54,550",269,30,210,27.5%,"$304,284"
19,0DJF18,THAI CHANG AGENCY INC,"BERKELEY LAKE, GA",436,49,462,4.3%,73.8%,40.5%,"$211,430",43,340,"$154,089","1,597",221,443,54.0%,"$687,142"
20,0DLF81,POLICY SOURCE LLCITHE,"CEDAR PARK, TX",309,0,442,(4.3%),78.9%,89.3%,"$115,603",12,455,"$140,695","1,048",100,462,97.0%,"$695,581"
21,0DLK97,KUTNEY INSURANCE AGENCY,"HUGHESVILLE, PA",0,0,49,(2.0%),89.1%,1.0%,"$18,330",0,55,"$18,158",0,0,50,25.0%,"$48,014"
