, , , , , ,Current, ,Year-to-Date,Results, ,Prior,Year-to-Date,Results, ,Prior,Year-end,Results, 
1,Sub-Code,Agency Name,Agency Location,Quotes,BNB,Policies in Force,PIF Growth,Retention,Loss Ratio,Written Premium,BNB,Policies in Force,Written Premium,Quotes,BNB,Policies in Force,Loss Ratio,Written Premium
2,ODRL24,INSURANCE ALLIANCE LLC,"SUMNER, WA",23,6,12,50.0%, ,0.0%,"$5,506",0,0,$0,17,10,8,0.0%,"$8,036"
3,0DRM26,JONES INSURANCE GROUP,"CONWAY, AR",265,53,219,34.4%, ,24.7%,"$80,402",0,0,$0,668,157,163,8.1%,"$207,126"
4,0DRM54,MOORE AGENCY INCITHE,"NANUET, NY",4,1,2,100.0%, ,0.0%,"$2,491",0,0,$0,9,1,1,0.0%,"$4,359"
5,ODRR48,DAYLIGHT INS AGENCY,"HILLIARD, OH",4,0,1,0.0%, ,0.0%,$0,0,0,$0,19,2,1,0.0%,$239
6,ODRS21,SHIELD INSURANCE,"DECATUR, AL",65,6,517,54.8%, ,81.7%,"$166,022",0,0,$0,41,9,334,71.3%,"$81,548"
7,0DRS39,METRO CHOICE INS AGENCY,"CUMMING, GA",8,0,0,0.0%, , ,$0,0,0,$0,1,0,0, ,$0
8,ODRS88,MCGUIRE INS AGENCY INC,"PRESTONSBURG, KY",237,27,41,192.9%, ,0.0%,"$26,554",0,0,$0,184,14,14,0.0%,"$16,335"
9,0DRS89,ALL CITY INS SVCS LLC,"BROOKLYN, NY",17,4,4,0.0%, ,0.0%,"$4,109",0,0,$0,26,0,0, ,$0
10,ODRT13,CRISMORE AGENCY LLCITHE,"KIRKWOOD, MO",164,17,27,170.0%, ,65.6%,"$26,617",0,0,$0,31,10,10,0.0%,"$13,867"
11,0DRT88,HOFFMANITOD DIAGENCY LLC,"CUMMING, GA",88,17,50,733.3%, ,0.0%,"$63,562",0,0,$0,19,6,6,0.0%,"$8,769"
12,0DRV38,INTEGRITY SVCS AND SOL,"WYOMISSING, PA",5,0,0,0.0%, , ,$0,0,0,$0,0,0,0, ,$0
13,0DRV79,AC NETWORK LLC\THE,"CONCORD, OH",23,0,4,0.0%, ,309.6%,$0,0,0,$0,343,0,0, ,$0
14,0DRX78,NEILL INSURANCE BROKERS,"ROANOKE, TX",97,19,19,0.0%, ,0.0%,"$31,595",0,0,$0,2,0,0, ,$0
15,ODRY21,GUARDIAN INS PARTNERS,"CHATTANOOGA, TN",194,45,44,0.0%, ,0.0%,"$54,221",0,0,$0,1,0,0, ,$0
16,ODRY41,HERITAGE INS AGCY,"CICERO, NY",6,0,0,0.0%, , ,$0,0,0,$0,0,0,0, ,$0
17,0DRY92,ARCHER INS SOLUTIONS LLC,"WAXAHACHIE, TX",8,2,2,0.0%, ,0.0%,"$1,706",0,0,$0,0,0,0, ,$0
18,0DRY98,GALSTER\RICK III INS,"NORTH CHESTERFIELD, VA",165,22,22,0.0%, ,0.0%,"$41,049",0,0,$0,0,0,0, ,$0
19,0DRZ05,ALL CITY INS SVCS LLC,"BROOKLYN, NY",50,11,11,0.0%, ,0.0%,"$13,160",0,0,$0,0,0,0, ,$0
20,ODRZ24,RONDON INS SVCS LLC,"EDMOND, OK",132,8,8,0.0%, ,0.0%,"$7,600",0,0,$0,0,0,0, ,$0
21,ODRZ41,PLEMONS INC,"KENNESAW, GA",5,1,1,0.0%, ,0.0%,"$2,769",0,0,$0,0,0,0, ,$0
22,0DSC43,C&C INSURANCE GROUP LLC,"CHARLESTON, SC",49,16,15,0.0%, ,0.0%,"$19,896",0,0,$0,0,0,0, ,$0
23,Sub-Code,Details Report, , , , , ,Page,10 of 11, , , , , , ,Printed on,04/04/2022,02:55 PM
