, , , , , ,Current,Year-to-Date, ,Results, ,Prior,Year-to-Date,Results, ,Prior,Year-end,Results, 
1,Sub-Code,Agency Name,Agency Location,Quotes,BNB,Policies in Force,PIF Growth,Retention,Loss Ratio,Written Premium,BNB,Policies in Force,Written Premium,Quotes,BNB,Policies in Force,Loss Ratio,Written Premium
2,0DNW00,BATES INSURANCE GRPITHE,"COVINGTON, GA",118,33,95,33.8%,81.6%,71.4%,"$61,041",9,38,"$17,259",374,51,71,22.1%,"$135,516"
3,0DNW16,KISER AGENCY INCITHE,"ASHEVILLE, NC",31,13,67,19.6%,81.6%,48.4%,"$19,726",3,38,"$12,991",97,28,56,(9.8%),"$65,116"
4,0DNY34,WINSTEAD\BAR RYE,"ELKTON, MD",85,6,74,1.4%,79.4%,16.0%,"$19,788",13,34,"$16,163",522,56,73,13.1%,"$90,287"
5,0DPG38,AGCY COLLECTIVE LLCITHE,"CONCORD, OH",38,1,0,0.0%, , ,$0,0,0,$0,16,0,0, ,$0
6,0DPG95,BURICK\JESSIC A INS AGCY,"ERIE, PA",23,8,29,38.1%,87.5%,115.2%,"$8,008",3,8,"$1,139",49,19,21,0.0%,"$18,764"
7,0DPL46,MCHUGH INSURANCE LLC,"ROCKLEDGE, PA",20,1,3,200.0%,200.0%,0.0%,"$2,941",1,1,$608,151,1,1,0.0%,"$1,306"
8,0DPM24,YOUNG INSURANCE INC,"GAITHERSBURG, MD",36,3,12,33.3%,80.0%,0.0%,"$1,674",0,5,$257,79,5,9,113.6%,"$14,915"
9,0DPM75,MASSABNI INS & FIN INC,"HYATTSVILLE, MD",10,3,36,(2.7%),90.0%,(2.3%),"$24,219",15,20,"$20,812",158,32,37,34.8%,"$43,853"
10,0DPM89,JC GLOBAL INS SERVICES,"ANAHEIM, CA",13,1,33,(10.8%),96.7%,16.9%,"$7,175",9,30,"$8,647",126,17,37,4.1%,"$41,764"
11,0DPN03,ARVEY INS AGENCY INC,"HENDERSONVILL E, NC",19,6,101,6.3%,92.7%,1.4%,"$24,082",1,82,"$12,930",64,24,95,9.3%,"$101,561"
12,0DPN04,ALLENMICHELL E\AGENCY,"VILLA RICA, GA",137,30,337,5.0%,89.0%,68.0%,"$160,414",51,227,"$114,186",681,173,321,52.6%,"$490,566"
13,0DPN06,HODGE ETHRIDGE INSURANCE,"FLORENCE, SC",146,22,425,1.0%,88.4%,149.5%,"$182,438",51,319,"$156,630",734,193,421,32.4%,"$744,896"
14,0DPN12,JACKSON INS GROUP INC,"CHARLOTTE, NC",0,0,1,0.0%,50.0%,0.0%,$564,1,2,$517,3,1,1,0.0%,$481
15,0DPN14,BEACH INSURANCE,"MYRTLE BEACH, SC",61,12,74,12.1%,77.6%,74.8%,"$20,958",13,58,"$10,926",336,32,66,73.4%,"$81,667"
16,0DPN19,STANSELL AGENCY LLC,"GREENVILLE, SC",101,17,190,6.7%,94.4%,46.2%,"$76,689",19,124,"$57,063",391,82,178,21.0%,"$213,982"
17,0DPN21,COMPASS AGENCY LLC\THE,"CONCORD, NC",132,17,337,(0.3%),85.7%,5.1%,"$91,896",33,300,"$82,218",500,115,338,60.3%,"$396,834"
18,0DPN23,APPLETREE INSURANCE,"PEACHTREE CITY, GA",112,14,133,7.3%,85.4%,102.2%,"$52,952",24,82,"$40,245",506,81,124,31.3%,"$200,849"
19,0DPN30,EAGANIJAMES J,"BROOKFIELD, CT",6,0,24,0.0%,94.7%,0.0%,($64),0,19,($81),85,7,24,(14.2%),"$30,876"
20,0DPN37,GREG HOUSTON INS INC,"MAULDIN, SC",190,15,231,3.1%,90.8%,64.7%,"$81,543",12,173,"$61,609","1,078",77,224,230.7%,"$292,435"
21,0DPN49,BTJ INSURANCE INC,"NASHVILLE, TN",150,14,243,(1.2%),80.1%,31.1%,"$88,841",20,221,"$74,170",942,78,246,33.5%,"$343,617"
22,Sub-Code,Details Report, , , , , ,Page,3 of 11, , , , , , ,Printed on,04/04/2022,02:55 PM
