, , , , , ,Current,Year-to-Date, ,Results, ,Prior,Year-to-Date,Results, ,Prior,Year-end,Results, 
1,Sub-Code,Agency Name,Agency Location,Quotes,BNB,Policies in Force,PIF Growth,Retention,Loss Ratio,Written Premium,BNB,Policies in Force,Written Premium,Quotes,BNB,Policies in Force,Loss Ratio,Written Premium
2,0DPT33,SINES INS AGENCY LLC,"HENDERSON, NV",139,24,169,10.5%,82.1%,57.5%,"$82,261",8,134,"$61,241",658,44,153,38.4%,"$232,102"
3,0DPT35,CEDARWOOD FIN & INS,"DAVIS, CA",27,4,26,36.8%,175.0%,7.1%,"$9,122",1,4,"$1,807",152,21,19,2.6%,"$22,323"
4,0DPT36,RCK FAMILY INC,"MCCLELLANDTO WN, PA",125,7,62,1.6%,81.1%,54.7%,"$23,477",27,37,"$22,107",571,63,61,40.1%,"$63,633"
5,0DPT42,ESHBAUGH INS SERVICES,"BARBERTON, OH",154,20,65,38.3%,72.0%,278.5%,"$24,806",5,25,"$9,193",418,33,47,146.8%,"$44,597"
6,0DPT44,ANDREW SCHOCH AGENCY LLC,"BUCYRUS, OH",1,0,7,0.0%,100.0%,0.0%,"$2,072",0,3,$0,23,4,7,0.0%,"$5,217"
7,0DPT51,THE DANSBY GROUP LLC,"MCKINNEY, TX",2,0,2,0.0%,100.0%,0.0%,$0,0,2,($47),24,0,2,0.0%,"$2,568"
8,0DPT55,NIHILL INS SERVICES LLC,"SPRING BRANCH, TX",26,1,14,7.7%,100.0%,0.0%,"$1,723",0,6,$0,117,8,13,4.4%,"$14,964"
9,0DPT63,CLEVELAND INS ADVSR INC,"UNIVERSITY HEIGHTS, OH",24,1,7,16.7%,100.0%,0.0%,"$1,273",0,2,$0,126,4,6,4.0%,"$7,997"
10,0DPT67,CEO INS & FIN SVCS LLC,"TEMPE, AZ",577,30,96,23.1%,57.9%,126.9%,"$31,862",8,57,"$14,225","1,765",46,78,19.4%,"$123,805"
11,0DPT70,MARK RADOSEVIC INSURANCE,"NORTH CANTON, OH",77,8,75,(1.3%),63.6%,(10.0%),"$16,877",12,55,"$18,379",369,49,76,39.9%,"$72,572"
12,0DPT73,DAVID T CHUDYK AGENCY,"SENECA, SC",49,3,63,1.6%,92.6%,(24.8%),"$21,279",9,54,"$18,045",144,23,62,89.9%,"$66,018"
13,0DPT88,SCOTT RICHARDS AGCY LLC,"HOOVER, AL",8,0,0,0.0%,0.0%, ,$0,0,4,($18),93,0,0,0.0%,$450
14,0DPT99,BOATWRIGHT AGY\THE,"NEWTOWN SQUARE, PA",17,0,49,(2.0%),97.6%,49.5%,"$10,582",2,41,"$15,018",62,12,50,26.2%,"$68,640"
15,0DPV11,HURLEY INS AGENCY LLC,"GLEN MILLS, PA",48,4,78,4.0%,115.4%,281.6%,"$19,652",7,26,"$13,485",191,56,75,14.2%,"$70,909"
16,0DPV18,JAMESUJFFRE Y\INSURANCE,"JEFFERSON HILLS, PA",174,14,164,6.5%,101.3%,20.4%,"$53,536",29,77,"$17,780","1,228",128,154,67.1%,"$132,583"
17,0DPV45,CAPRETTA INS AGENCY INC,"PARMA, OH",80,4,64,0.0%,83.1%,1042.2%,"$16,121",4,71,"$19,317",292,6,64,26.6%,"$54,025"
18,0DPV75,DISABATINO FIN SRVCS LLC,"MIDDLETOWN, DE",11,0,20,(13.0%),60.0%,1.2%,$923,2,20,"$4,248",76,12,23,37.4%,"$30,875"
19,0DPV81,ALLEN INSURANCE GROUP,"HICKORY CREEK, TX",36,1,56,(3.4%),93.8%,49.8%,"$47,218",25,32,"$40,334",235,51,58,80.1%,"$138,572"
20,0DPV84,BRANDT DAVIS INS AGENCY,"LOUISVILLE, KY",209,64,293,21.6%,92.1%,22.8%,"$119,622",64,126,"$58,216",761,206,241,138.4%,"$304,762"
21,0DPV88,THOMPSONMIK EVINS AGCY,"AUBREY, TX",57,4,40,2.6%,76.7%,41.1%,"$28,014",2,30,"$8,577",250,19,39,59.7%,"$80,058"
22,0DPV95,SINGH AGENCY INC,"GREAT NECK, NY","1,077",10,153,(0.6%),82.4%,58.5%,"$114,809",28,136,"$110,624","5,294",62,154,97.9%,"$332,287"
